Industry,Topic,Domain,Employee_Size,Job_Level,iLead_Grade,Bombora_Score,Techno_Score,Intent_Signal,country
Managed-Services-Provider,Data Automation,polkabrothers.com,1001 to 5000,C-Level,A,100,10,B,Afghanistan
IT-Solutions-Provider,Data Automation,hcl.com,10001+,C-Level,A,100,10,B,Aland Islands
IT-Consulting,Data Automation,rhctlegal.co.uk,10001+,C-Level,A,95,10,B,Albania
Point-of-Sale-Provider,Data Automation,argos.co.uk,1001 to 5000,C-Level,A,95,10,B,Algeria
Retail,Data Automation,nsuk.com,1001 to 5000,C-Level,A,90,10,B,American Samoa
Document-Imaging-Provider,Data Automation,somsd.k12.nj.us,10001+,C-Level,A,89,10,B,Andorra
Managed-Print-Provider,Data Automation,dc-ratingen.de,1001 to 5000,C-Level,A,85,10,B,Angola
Managed-Services-Provider,Data Automation,rimplas.co.uk,10001+,C-Level,A,70,10,B,Anguilla
Managed-Services-Provider,Data Automation,bipinformatica.com.ar,5001 to 10000,C-Level,A,70,10,B,Antarctica
Managed-Services-Provider,Data Automation,euraplan.co.uk,5001 to 10000,C-Level,A,70,10,B,Antigua And Barbuda
Managed-Services-Provider,Data Automation,multireklam.hu,1001 to 5000,C-Level,A,70,10,B,Argentina
Managed-Services-Provider,Data Automation,receipt-bank.com,1001 to 5000,C-Level,A,70,10,B,Armenia
Managed-Services-Provider,Data Automation,flexistore.co.uk,1001 to 5000,C-Level,A,69,10,B,Aruba
Managed-Services-Provider,Data Automation,aetna.com,10001+,C-Level,A,69,10,B,Ascension Island
Managed-Services-Provider,Data Automation,blowabbott.com,1001 to 5000,C-Level,A,69,10,B,Australia
Managed-Services-Provider,Data Automation,klgates.com,1001 to 5000,C-Level,A,69,10,B,Austria
Managed-Services-Provider,Data Automation,makevale.com,10001+,C-Level,A,69,10,B,Azerbaijan
Managed-Services-Provider,Data Automation,riko-uk.com,51 to 200,C-Level,A,69,10,B,Bahamas
Managed-Services-Provider,Data Automation,test1234.com,201 to 500,C-Level,A,68,10,B,Bahrain
Managed-Services-Provider,Data Automation,g4s.com,5001 to 10000,C-Level,A,68,10,B,Bangladesh
Managed-Services-Provider,Data Automation,aerlingus.com,1001 to 5000,C-Level,A,68,10,B,Barbados
Managed-Services-Provider,Data Automation,broadridge.com,1001 to 5000,C-Level,A,68,10,B,Belarus
